,Name,Album,Artist,Release_date,Release_year,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
50,Clearest Blue,Every Open Eye,CHVRCHES,25/09/2015,2015,233769,0,0.017,0.641,0.832,0.00186,0.0648,0.167,-5.873,0.0333,123.03,4
51,Cream On Chrome - Single Edit,Cream On Chrome,Ratatat,13/04/2015,2015,235362,22,0.0275,0.79,0.692,0.369,0.528,0.82,-4.704,0.0532,100.264,4
52,Monday,Monday,Matt Corby,1/10/2015,2015,247893,16,0.874,0.299,0.522,0.00656,0.07,0.229,-6.394,0.0571,89.757,4
53,Working For It,Genesis Series,ZHU,6/11/2015,2015,231813,55,0.0971,0.776,0.715,0.0131,0.247,0.502,-6.587,0.0505,99.951,4
54,Multi-Love,Multi-Love,Unknown Mortal Orchestra,26/05/2015,2015,250800,62,0.571,0.784,0.506,0,0.139,0.545,-5.243,0.0403,120.141,4
55,Alive,Alive,Sia,24/09/2015,2015,263893,51,0.289,0.32,0.752,0.000101,0.102,0.392,-4.91,0.056,98.88,4
56,Foolish,Yuck,Alpine,9/06/2015,2015,202614,28,0.0298,0.673,0.672,0.00991,0.0819,0.77,-6.01,0.0335,94.008,4
57,Vice Grip,Ire,Parkway Drive,25/09/2015,2015,263586,57,3.17E-05,0.48,0.988,0.00432,0.389,0.252,-3.229,0.0838,124.041,4
58,Run,Run,Alison Wonderland,20/03/2015,2015,218783,49,0.00389,0.507,0.779,0.02,0.398,0.109,-5.763,0.0333,145.02,4
59,Kamikaze,Kamikaze,MØ,15/10/2015,2015,214240,57,0.0368,0.663,0.878,3.39E-06,0.328,0.704,-3.195,0.0646,158.035,4
60,'Cause I'm A Man,Currents,Tame Impala,17/07/2015,2015,241986,63,0.108,0.547,0.695,0.00301,0.14,0.641,-4.969,0.0337,144.684,4
61,Omen - Radio Edit,Omen (Radio Edit),Disclosure,27/07/2015,2015,196817,64,0.115,0.671,0.786,0,0.363,0.621,-4.857,0.14,106.057,4
62,Walk the Wire,Limit of Love,Boy & Bear,9/10/2015,2015,179120,34,0.00136,0.535,0.895,0.000449,0.101,0.703,-4.985,0.042,139.477,4
63,L$D,AT.LONG.LAST.A$AP,A$AP Rocky,26/05/2015,2015,238306,75,0.194,0.598,0.252,0.133,0.0992,0.0352,-15.086,0.0644,120.064,4
64,Don't Wanna Fight,Sound & Color,Alabama Shakes,21/04/2015,2015,232530,0,0.235,0.597,0.915,0.0865,0.106,0.555,-3.298,0.152,100.444,4
65,M.O.B.,Switch Tape EP,Tkay Maidza,4/12/2015,2015,194275,0,0.285,0.692,0.852,0,0.194,0.429,-3.454,0.0478,137.95,4
66,Give Me a Try,Glitterbug (Deluxe Edition),The Wombats,14/04/2015,2015,228470,44,0.000815,0.623,0.922,0,0.069,0.681,-3.013,0.0534,135.976,4
67,Shutdown,Shutdown,Skepta,26/04/2015,2015,188938,0,0.126,0.656,0.746,0,0.508,0.824,-4.716,0.314,104.044,3
68,Forces,Forces,Japanese Wallpaper,26/03/2015,2015,252315,0,0.287,0.597,0.754,0.00614,0.264,0.591,-7.264,0.028,156.014,4
69,What Kind Of Man,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,1/06/2015,2015,216176,51,0.0229,0.313,0.635,0,0.129,0.224,-4.676,0.0431,114.776,4
70,Flesh without Blood,Flesh without Blood,Grimes,26/10/2015,2015,264523,0,0.000904,0.481,0.965,0.000727,0.476,0.66,-2.993,0.0875,155.938,4
71,Anchor,Anchor EP,Birds Of Tokyo,24/04/2015,2015,216096,10,0.0883,0.597,0.716,0,0.14,0.554,-4.771,0.0275,87.979,4
72,Once - Radio Edit,Once,Ngaiire,10/07/2015,2015,267212,0,0.664,0.76,0.48,0.00172,0.105,0.12,-10.455,0.0371,104.995,4
73,Powerful (feat. Ellie Goulding & Tarrus Riley),Peace Is The Mission (Extended),Major Lazer,27/11/2015,2015,206327,0,0.121,0.598,0.792,0,0.158,0.732,-4.043,0.0478,97.479,3
74,Elevator Operator,"Sometimes I Sit and Think, And Sometimes I Just Sit",Courtney Barnett,23/03/2015,2015,194946,0,0.000766,0.682,0.769,0.00898,0.36,0.769,-7.197,0.0324,131.693,4
75,Suddenly,Nothing Touches Me,British India,13/03/2015,2015,267225,0,0.0687,0.532,0.828,5.78E-05,0.111,0.578,-5.081,0.0422,126.811,4
76,Lay Down,Lay Down,DMA'S,29/09/2015,2015,193042,0,0.00177,0.329,0.832,7.77E-05,0.128,0.461,-2.208,0.0383,78.531,4
77,Weathered,Weathered,Jack Garratt,6/07/2015,2015,274174,0,0.0885,0.367,0.497,6.33E-05,0.0792,0.291,-7.311,0.0436,146.63,4
78,Wolves,Wolves,The Cat Empire,9/10/2015,2015,202840,24,0.125,0.659,0.9,0.127,0.347,0.856,-5.461,0.0426,121.244,4
79,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",AT.LONG.LAST.A$AP,A$AP Rocky,26/05/2015,2015,260986,73,0.00996,0.394,0.661,0,0.343,0.335,-8.684,0.192,149.818,4
80,Depreston,"Sometimes I Sit and Think, And Sometimes I Just Sit",Courtney Barnett,23/03/2015,2015,292853,0,0.0246,0.692,0.467,1.43E-05,0.059,0.422,-11.577,0.0336,126.407,4
81,Down To Earth - Radio Edit,Down To Earth (Remixes),Flight Facilities,18/05/2015,2015,190812,0,0.0122,0.735,0.622,0.465,0.101,0.417,-5.526,0.0316,121.953,4
82,Heart Attack - Radio Edit,Heart Attack (Remixes),Flight Facilities,7/10/2015,2015,224516,0,0.374,0.707,0.555,0.0728,0.124,0.173,-10.484,0.0606,123.967,4
83,Happy Song,That's The Spirit,Bring Me The Horizon,11/09/2015,2015,239386,66,4.02E-05,0.295,0.924,0.00462,0.377,0.219,-3.407,0.0678,171.941,4
84,begin again,another eternity,Purity Ring,2/03/2015,2015,217201,23,0.0108,0.598,0.565,0.0471,0.307,0.328,-7.764,0.0471,92.126,4
85,Party Machine,Party Machine,The Bennies,6/11/2015,2015,164948,19,0.00713,0.589,0.889,7.92E-05,0.672,0.619,-4.446,0.0545,164.963,4
86,High By The Beach,Honeymoon,Lana Del Rey,18/09/2015,2015,257573,66,0.244,0.536,0.486,0.00788,0.12,0.0968,-11.067,0.0346,131.988,4
87,Gemini (feat. George Maple),Gemini (feat. George Maple),What So Not,3/04/2015,2015,270257,53,0.238,0.481,0.687,0.11,0.107,0.188,-6.748,0.0699,145.971,4
88,Be Your Shadow,Glitterbug (Deluxe Edition),The Wombats,14/04/2015,2015,215693,37,0.0251,0.636,0.965,1.12E-06,0.146,0.551,-2.897,0.064,125.043,4
89,No One (feat. Thelma Plum),XXIV,Golden Features,19/06/2015,2015,295056,46,0.18,0.766,0.549,0.069,0.209,0.255,-10.578,0.0778,119.943,4
90,Indian Summer,Indian Summer,Jai Wolf,9/06/2015,2015,248470,58,0.0246,0.507,0.824,0.0451,0.0848,0.0394,-2.501,0.0526,84.992,4
91,Ghost,BADLANDS (Deluxe),Halsey,28/08/2015,2015,153656,61,0.0529,0.57,0.606,0.000727,0.134,0.212,-8.085,0.129,95.038,4
92,Nobody Really Cares If You Don't Go to the Party,"Sometimes I Sit and Think, And Sometimes I Just Sit",Courtney Barnett,23/03/2015,2015,166080,0,1.64E-05,0.421,0.93,0.128,0.341,0.574,-5.133,0.0741,136.688,4
93,Rumour Mill (feat. Anne-Marie & Will Heard),We the Generation,Rudimental,2/10/2015,2015,243783,50,0.147,0.842,0.534,7.77E-05,0.261,0.761,-8.547,0.171,119.976,4
94,Twilight Driving,Oh Inhuman Spectacle,Methyl Ethel,5/06/2015,2015,239356,51,0.123,0.599,0.744,0.0128,0.365,0.585,-6.502,0.0298,124.034,4
95,Be Together (feat. Wild Belle),Peace Is The Mission,Major Lazer,1/06/2015,2015,233010,0,0.00142,0.497,0.627,0,0.619,0.193,-6.141,0.0319,79.93,4
96,True Friends,That's The Spirit,Bring Me The Horizon,11/09/2015,2015,232320,66,0.000683,0.419,0.938,0,0.114,0.333,-3.12,0.0837,160.151,4
97,Hell Boy,Strange New Past,Seth Sentry,19/06/2015,2015,204000,0,0.0195,0.726,0.792,0,0.0849,0.492,-3.395,0.169,140.102,4
0,Never Be Like You (feat. Kai),Never Be Like You (feat. Kai),Flume,16/01/2016,2016,234909,0,0.446,0.54,0.59,0,0.14,0.267,-4.359,0.0528,119.878,4
1,Adore,Adore,Amy Shark,26/07/2016,2016,184999,0,0.193,0.592,0.438,0,0.0564,0.259,-10.054,0.0391,67.445,4
2,Jungle,Jungle,Tash Sultana,6/09/2016,2016,315602,0,0.276,0.592,0.701,0.000103,0.0882,0.509,-5.879,0.0292,146.032,4
3,1955,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,19/02/2016,2016,239280,63,0.719,0.766,0.5,5.91E-06,0.304,0.71,-7.558,0.0695,84.044,4
4,Redbone,Redbone,Childish Gambino,17/11/2016,2016,326880,0,0.194,0.743,0.372,0.014,0.12,0.575,-10.459,0.132,160.07,4
5,Papercuts (feat. Vera Blue),Papercuts (feat. Vera Blue),Illy,8/07/2016,2016,255889,52,0.161,0.369,0.618,0,0.257,0.467,-6.304,0.249,191.863,4
6,Say It,Say It,Flume,21/04/2016,2016,262521,0,0.0665,0.367,0.532,4.09E-06,0.0628,0.261,-6.837,0.0402,70.16,4
7,Stranger (feat. Elliphant),Stranger (feat. Elliphant),Peking Duk,21/10/2016,2016,206393,55,0.045,0.528,0.874,0,0.0888,0.376,-3.028,0.0456,105.042,4
8,Starboy,Starboy,The Weeknd,25/11/2016,2016,230453,1,0.165,0.681,0.594,3.49E-06,0.134,0.535,-7.028,0.282,186.054,4
9,Chameleon,Chameleon,PNAU,4/11/2016,2016,198020,0,0.00149,0.718,0.934,0.000131,0.324,0.239,-3.153,0.0379,119.989,4
10,Cocoon,Cocoon,Milky Chance,11/11/2016,2016,254013,0,0.0715,0.732,0.708,0.000161,0.0824,0.749,-5.978,0.0324,114.033,4
11,Love$ick,Love$ick,Mura Masa,30/09/2016,2016,192154,0,0.138,0.65,0.776,0.00417,0.27,0.772,-5.059,0.139,88.89,4
12,Viceroy,WACO,Violent Soho,18/03/2016,2016,194479,0,0.00284,0.69,0.73,0.000112,0.0696,0.574,-5.54,0.0493,124.019,4
13,Genghis Khan,Genghis Khan,Miike Snow,3/12/2015,2016,212139,41,0.0388,0.699,0.837,2.24E-06,0.581,0.414,-3.264,0.0437,94.005,4
14,Jan-26,Jan-26,A.B. Original,19/08/2016,2016,200816,30,0.0658,0.835,0.63,0,0.264,0.608,-4.221,0.205,98.034,4
15,The Opposite of Us,The Opposite of Us,Big Scary,30/06/2016,2016,262506,0,0.286,0.747,0.802,0.00293,0.102,0.585,-5.768,0.035,117.012,4
