,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
72,Don't Need You,Don't Need You,Genesis Owusu,2020-05-15,185786,51,6mpM529BmykbxJ1CIwXQN5,0.153,0.927,0.475,2.89e-05,0.0848,0.553,-6.864,0.162,119.975,4
73,Scream Drive Faster,Scream Drive Faster,LAUREL,2020-08-11,240666,59,0WpZm3wky84KQ8BKWTELqw,0.0208,0.625,0.706,0.0,0.0498,0.699,-5.145,0.0316,129.987,4
74,Photo ID,I'm Allergic To Dogs!,Remi Wolf,2020-06-24,265263,71,0bhciG1J5Mn3aIfPjvHQIe,0.111,0.822,0.66,0.0,0.143,0.802,-3.637,0.0819,113.956,4
75,Baby It's You,Baby It's You,London Grammar,2020-08-19,242239,60,4hevTIy9B4g2ebKwYMrq6T,0.085,0.508,0.827,0.0134,0.0572,0.14,-8.612,0.0357,118.009,4
76,House Arrest,House Arrest,Sofi Tukker,2020-05-15,216441,66,5QYKmxfPsl69GgeZKDAVSx,0.0187,0.654,0.818,0.103,0.0806,0.557,-6.27,0.0332,123.982,4
77,Lady Marmalade - triple j Like A Version,Lady Marmalade (triple j Like A Version),G Flip,2020-03-13,261924,45,0uBeTMa3hZuRCUlb2A2uVM,0.00255,0.652,0.724,0.0,0.396,0.768,-7.423,0.0394,112.991,4
78,my future,my future,Billie Eilish,2020-07-30,208155,79,2ygvZOXrIeVL4xZmAWJT2C,0.795,0.444,0.309,0.132,0.352,0.0875,-10.956,0.062,104.745,4
79,Freaks,Freaks,FISHER,2020-03-20,175255,53,7f4rLiuUmeWCgkErVvJROi,0.00223,0.806,0.869,0.775,0.123,0.785,-4.344,0.0544,124.01,4
80,Weightless,Sunlight,Spacey Jane,2020-06-12,251053,56,3Q82gmW5GZhHMXceSIKUvl,0.000575,0.487,0.877,0.00341,0.135,0.385,-4.625,0.0335,99.948,4
81,The Clap,High Risk Behaviour,The Chats,2020-03-27,89640,48,6XBVxi3Nqbrq3jpxIegjVW,0.0177,0.651,0.693,5.93e-06,0.0411,0.967,-6.15,0.0929,91.035,4
82,Down for You,Down for You,Cosmo's Midnight,2020-01-31,193716,59,2nelvMgL7LyIUAYwmmRyy1,0.275,0.763,0.547,1.79e-06,0.108,0.634,-8.017,0.0601,97.003,4
83,Chicken Tenders,What Could Possibly Go Wrong,Dominic Fike,2020-07-31,170405,63,4sYbZjRCyaFqCtJ2Uvfh8B,0.268,0.746,0.741,0.0,0.644,0.72,-5.459,0.0567,119.983,4
84,Too Tough Terry,Too Tough Terry,Dune Rats,2020-11-13,157299,49,3eDfcMpk8VSgI0H2fbiXIB,0.0523,0.595,0.985,0.0,0.359,0.417,-2.552,0.113,75.512,4
85,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,88,2SAqBLGA283SUiwJ3xOUVI,0.244,0.761,0.518,3.47e-05,0.107,0.522,-8.871,0.134,133.976,4
86,Three Leaf Clover,Three Leaf Clover,Teenage Joans,2020-03-26,196358,49,66xqlF7301uoF8VQVQaeLE,0.000787,0.548,0.799,0.00262,0.268,0.509,-4.098,0.0324,124.019,4
87,HEART ATTACK (feat. lau.ra),BRONSON,BRONSON,2020-08-07,209600,56,5tSNIIuIXECdWLFIfjhnPQ,0.163,0.556,0.649,0.214,0.109,0.119,-5.807,0.0781,121.999,4
88,In Her Eyes,In Her Eyes,The Jungle Giants,2020-11-17,174401,61,4JtbUXLuBb8C7q1x7B54ZY,0.00373,0.89,0.505,0.438,0.0474,0.94,-3.106,0.0481,119.011,4
89,No Time To Die,No Time To Die,Billie Eilish,2020-02-13,242265,78,73SpzrcaHk0RQPFP73vqVR,0.917,0.38,0.219,0.0104,0.0827,0.0517,-13.273,0.0358,73.537,4
90,Charlie - triple j Like A Version,Charlie (triple j Like A Version),Bugs,2020-03-06,235194,51,4l7yogg2XCRrmkK7BPvVq4,0.00706,0.394,0.557,0.00365,0.0992,0.338,-9.392,0.0374,79.496,3
91,These Days,These Days,Thelma Plum,2020-05-28,203250,54,4AJFUuMaJFsRlz1C4GzAWk,0.814,0.545,0.281,0.0,0.108,0.427,-8.677,0.027,87.757,4
92,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,86,7hxHWCCAIIxFLCzvDgnQHX,0.25,0.8,0.658,0.0,0.111,0.462,-6.142,0.079,140.042,4
93,Rain,Rain,Aitch,2020-03-05,183065,67,5LBikzSkad9yQ6RH87Gdrm,0.0262,0.871,0.87,1.98e-06,0.109,0.83,-4.797,0.202,150.147,4
94,Loose Ends (feat. G Flip),Loose Ends (feat. G Flip),Illy,2020-07-17,236855,49,6QKqavEniWv3JRrRL7BSu5,0.0511,0.704,0.666,0.00238,0.258,0.552,-6.652,0.0735,90.015,4
95,Germaphobe,Brain Candy,Hockey Dad,2020-07-31,204690,48,3tSWWTSucdz5xQJwgLIqmC,0.000785,0.47,0.954,0.0,0.0971,0.412,-3.966,0.0718,127.98,4
96,Audacity (feat. Headie One),Heavy Is The Head,Stormzy,2019-12-13,245920,64,6Oq4fiDzKaFMU89dTvM24u,0.0523,0.678,0.516,0.0,0.13,0.11,-4.601,0.444,133.939,4
97,Your Man,Nectar,Joji,2020-09-25,163758,68,5sbZj8hcae2ebXVBonKQ6g,0.624,0.785,0.818,0.149,0.149,0.0503,-8.711,0.099,117.98,4
98,Itch,Itch,Hockey Dad,2020-02-14,294063,43,63ouuqcOIeU5uOaGEJMy2B,0.0119,0.253,0.791,0.0,0.0957,0.0808,-4.889,0.0447,159.916,4
99,Kool,Hey u x,BENEE,2020-11-13,168736,62,35arSG83D9FCN2Ts0qOuoc,0.00492,0.911,0.811,6.21e-06,0.209,0.97,-3.637,0.0509,119.054,4
