,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
90,Down With The Trumpets,Stereo Typical,Rizzle Kicks,2011-01-01,186851,0,38Q8bp8VfCzCWWa0lPzCnB,0.0876,0.754,0.877,0.0,0.219,0.771,-4.59,0.079,115.021,4
91,Party All Night (Sleep All Day),Party All Night (Sleep All Day),Sean Kingston,2010-12-21,222440,48,5bPrateGU0smTv4ZQhuEZS,0.000749,0.595,0.86,0.0,0.445,0.8,-3.902,0.0665,124.038,4
92,Ridin' Solo,Jason Derulo (International),Jason Derulo,2010-02-26,215746,67,6OEolOOk9Gh9bqkdpfIOl0,0.128,0.442,0.83,0.0,0.129,0.578,-4.02,0.146,89.338,4
93,Down,Down,Jay Sean,2009-01-01,212280,0,6ND2f7SUjYNpLqL0WPcNT1,0.0108,0.654,0.684,0.0,0.0768,0.7,-4.509,0.032,66.001,4
94,Frisky (feat. Labrinth),Disc-Overy,Tinie Tempah,2010-05-31,295400,31,61qCzi7xhab75EqSk9kMNZ,0.121,0.609,0.719,0.0,0.125,0.415,-6.04,0.119,82.372,4
95,In My Head,Jason Derulo (International),Jason Derulo,2010-02-26,199026,68,6St9lR6dhV2tpCNVz7qfrS,0.0266,0.762,0.748,0.0,0.348,0.851,-4.15,0.033,110.009,4
96,The Real Slim Shady,Curtain Call (Deluxe),Eminem,2005-12-06,284800,0,1MYlx4dBtiyjn7K8YSyfzT,0.0331,0.947,0.655,0.0,0.0433,0.787,-4.243,0.0609,104.485,4
97,I Love It (feat. Charli XCX) - Original Version,I Love It,Icona Pop,2012-06-19,155337,63,3VZQshi4COChhXaz7cLP02,0.00855,0.714,0.905,2.55e-05,0.146,0.838,-2.663,0.0289,125.927,4
98,No One,As I Am (Expanded Edition),Alicia Keys,2007-11-09,253813,79,6IwKcFdiRQZOWeYNhUiWIv,0.0209,0.644,0.548,8.68e-06,0.134,0.166,-5.416,0.0286,90.042,4
99,I Need A Doctor,I Need A Doctor,Dr. Dre,2011-02-01,283733,0,1aUT4xl8iiYNr6emik4qTB,0.103,0.587,0.931,1.16e-06,0.346,0.445,-4.426,0.467,155.964,4
