,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
42,Vesper,Vesper,Dries Riesen,2020-08-21,254060,61,3WEkHcJisp1XyPPNMWKAi0,0.92,0.153,0.0186,0.376,0.107,0.167,-21.146,0.0399,82.152,4
43,It Never Entered My Mind,Acceptance,Billy Childs,2020-08-28,312146,43,55C4kway5euJFyKBafRgrP,0.941,0.521,0.0774,0.926,0.118,0.183,-23.987,0.0418,120.755,4
44,Litania,Litania,Sparrow & Bird,2020-09-25,235174,62,0ou3UbT1V1FaGU5oz6Q8Bo,0.596,0.531,0.0282,0.314,0.114,0.157,-20.689,0.0337,94.739,4
45,Stardust,Two Of A Mind,Paul Desmond,1996-05-25,503226,16,7FeEoTg5tsJtTc8fu0PjDf,0.975,0.512,0.0764,0.000566,0.13,0.346,-19.709,0.0589,115.376,4
46,Fading Love,Fading Love,Burt Mitchell,2020-11-06,280750,57,5xEOUPnUkpErHaxHi2D1tr,0.967,0.353,0.0717,0.566,0.116,0.204,-21.734,0.0318,107.59,4
47,The Summer Rain,Woodland,Green Trio,2020-12-25,181448,58,0fqd2ptOum8EPm581Mfc3g,0.963,0.467,0.186,0.941,0.11,0.228,-18.418,0.0386,88.52,3
48,Ghost Of A Chance,Trio Fascination,Joe Lovano,1998-01-01,296626,45,1HpClhV3hTXDszzclTdbZK,0.881,0.509,0.0298,0.0011,0.261,0.303,-19.928,0.0499,113.915,3
49,Blue Spaces,Somewhere Sometime,Oakwood Station,2019-11-15,183346,55,5LBbKfP2Jf8z7EcEBmqyF7,0.922,0.49,0.157,0.687,0.117,0.262,-18.181,0.0657,191.828,3
50,I Remember Clifford,I Remember Clifford,Tribute Trio,2021-01-22,297604,41,2WQ5tNYgO3FGmGLK7L13VT,0.922,0.533,0.244,0.906,0.163,0.166,-16.662,0.0399,118.732,4
51,Where Are You - Remastered,The Bridge,Sonny Rollins,1962,310666,36,3EvT0m0eRWFtdXA89M2sk8,0.888,0.545,0.0145,0.0903,0.156,0.133,-23.17,0.0441,102.057,4
52,Danny´s Dream,If You Could See Me Now,Eddie Harper,2020-12-04,214091,63,5X7wI6LqZfnp6XGYRSktPo,0.972,0.283,0.086,0.443,0.19,0.26,-17.989,0.0461,203.925,1
53,Some Other Time - Live,"The Complete Village Vanguard Recordings, 1961",Bill Evans Trio,2005,298000,42,27WWPIrSHvlY1YCKI8WFcf,0.946,0.432,0.0658,0.944,0.693,0.121,-28.091,0.0512,124.621,4
54,I've Told Every Little Star,Deep In A Dream,LaSalle Street Trio,2021-01-29,253213,57,2bYWfgNXxt4CQCPWBicqPx,0.943,0.587,0.0575,0.865,0.0928,0.146,-22.505,0.0406,64.996,4
55,On a rainy night,I fall in love too easily,Astoria Three,2021-02-19,174803,26,23UsmEE9f1y1OTRWpxZsnx,0.965,0.463,0.126,0.796,0.112,0.065,-20.359,0.0307,105.389,4
56,In the Wee Small Hours of the Morning,Conner's Days,Ari Hoenig,2019-05-15,262210,53,0oeUGF5YJJrH8I8dNKTLvl,0.83,0.412,0.0902,0.366,0.0889,0.0744,-22.841,0.0304,68.767,4
57,You Don't Know What Love Is,You Don't Know What Love Is,The Sweetgreens,2020-10-16,150122,57,4bDk3TKM6kF1MT2Tzek7QJ,0.854,0.581,0.0509,0.892,0.124,0.269,-25.046,0.0377,118.494,4
58,Stairway to the Stars,Stairway to the Stars,Figgy Mold,2021-01-07,278587,61,7hgumdPAIHQFL7iE1tdXYA,0.96,0.463,0.0769,0.856,0.105,0.178,-21.855,0.0389,116.2,4
59,Julia,Julia,The Stilltones,2020-09-25,232832,60,6hTEfMxYFeUqiAJ5jIX7Y5,0.769,0.478,0.0796,0.154,0.109,0.132,-18.825,0.031,104.17,4
60,For the Saints,You Are My Sunshine,Cyrus Chestnut,2003-07-01,414733,39,5NIbOfvrdS62g1Mlvo2GYw,0.941,0.467,0.0882,0.815,0.0559,0.0989,-17.336,0.046,95.911,3
61,Deep In A Dream,Deep In A Dream,LaSalle Street Trio,2021-01-29,282123,57,0P0YUfbBRKa1GSCSWmFd2p,0.971,0.476,0.0808,0.828,0.0978,0.182,-21.66,0.0357,113.985,4
62,Late Night Walk,Late Night Walk,Henry Lindon,2019-11-26,227499,54,2uSdRkfWEUU7kE9sDceU70,0.979,0.413,0.17,0.896,0.101,0.125,-21.032,0.0341,122.531,3
63,I Sing This Song for You,Inside Out,Juraj Stanik Trio,2020-06-12,278666,51,2p0MYtfsZq2Rz6yd1WUXAA,0.956,0.413,0.0771,0.694,0.257,0.099,-22.29,0.0381,124.912,4
64,"I Loves You, Porgy","I Loves You, Porgy",Ryan Turtle Trio,2021-01-18,177261,47,1p6wxI8LwDcO67o5kS3X2v,0.95,0.387,0.169,0.864,0.0967,0.189,-16.769,0.0353,95.746,4
