,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
46,We're Good Together,Town of a Million Dreams,Casey Barnes,2020-04-17,179674,48,61Hpngia9MglsIAeIJW6Oe,0.221,0.712,0.763,0.000109,0.0855,0.896,-4.08,0.0288,99.962,4
47,Middle Ground,Middle Ground,Rachael Fahim,2020-11-13,170944,46,4PmYIejHKa1uwDiDfskllF,0.148,0.492,0.826,0.0,0.304,0.518,-1.584,0.0337,82.05,4
48,Beers And Sunshine,Beers And Sunshine,Darius Rucker,2020-08-06,178278,73,36ISlLb12gKuCCVTYXC0gb,0.134,0.57,0.645,0.0,0.147,0.677,-5.816,0.0304,81.084,4
49,Close Enough,Close Enough,Seaforth,2020-11-06,201494,52,3cofUarZTBOFUIwPfXgG8I,0.0707,0.644,0.645,0.0,0.126,0.949,-6.193,0.0471,169.903,4
50,hole in the bottle (with Shania Twain),hole in the bottle (with Shania Twain),Kelsea Ballerini,2020-11-13,156275,68,2bV4NwncWMnVvcWyU2yxwB,0.106,0.598,0.839,0.0,0.372,0.783,-4.605,0.111,105.084,4
51,Song About You,Song About You,Sam Grow,2020-04-17,180890,59,5gRsliQqZLc4tv688SE3wB,0.000895,0.57,0.767,1.18e-05,0.097,0.713,-4.287,0.0331,110.995,4
52,Doing Life With Me,Doing Life With Me,Eric Church,2020-12-11,195586,70,57YkkgxAiusJPMtiSG3w3c,0.73,0.646,0.598,5.87e-06,0.118,0.606,-10.293,0.0425,80.993,4
53,Girl Outta The Country,Girl Outta The Country,Travis Collins,2020-07-17,205190,44,4gEvdyhSgZRQx0dAKcV9Tr,0.028,0.526,0.75,0.0,0.417,0.513,-5.717,0.0396,149.963,4
54,I Just Feel Like Dancing,I Just Feel Like Dancing,Bryce Sainty,2021-02-12,158341,36,3O0xuYpN1TGkDVW85Drmmz,0.105,0.623,0.78,0.0,0.0553,0.787,-3.616,0.0632,101.698,4
55,One Kind Of Beautiful,One Kind Of Beautiful,Brock Colley,2020-11-05,170117,42,7db51Qu7R66q8xjbza91gU,0.234,0.58,0.665,0.0,0.193,0.399,-7.257,0.0377,84.954,4
56,Anybody Ever,Anybody Ever,The Wolfe Brothers,2020-10-23,174175,44,2PhmmMX8uFumk7j1wHZa58,0.183,0.801,0.753,0.0,0.133,0.778,-5.646,0.032,119.998,4
57,Lightning Strikes (feat. Lauren Alaina),Lightning Strikes (feat. Lauren Alaina),The Shires,2020-10-19,173720,47,08NMNQ9JLEwFBPyxCq7G4Z,0.0855,0.62,0.717,0.0,0.141,0.571,-5.559,0.0854,101.787,4
58,Like a Hit to Me,Like a Hit to Me,Troy Kemp,2020-12-18,194987,41,51DFMdOGsNe1PYtOUAAvjG,0.0759,0.587,0.792,0.0,0.142,0.721,-3.348,0.0467,92.874,4
59,Be With You,Be With You,Kaylee Bell,2020-09-24,172963,42,2HT1n4YYTS6zbIHYaUrWeC,0.00376,0.393,0.878,0.234,0.0895,0.631,-3.061,0.0628,89.994,4
