,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
60,Maybe You Know,My Own Pool of Light,Holy Holy,2019-08-02,237080,53,0.0202,0.49,0.81,1.14e-06,0.315,0.483,-5.043,0.0451,139.107,4
61,Hell N Back,Hell N Back,Bakar,2019-08-15,213573,73,0.312,0.584,0.684,9.05e-05,0.112,0.72,-4.314,0.567,210.164,4
62,Nightmare,Nightmare,Halsey,2019-05-17,231998,71,0.0188,0.611,0.622,0.0,0.359,0.538,-5.075,0.0734,146.11,4
63,Circles,Circles,George Alice,2019-07-05,184144,49,0.149,0.643,0.526,2.24e-06,0.432,0.163,-8.324,0.0486,104.98,4
64,Homecoming Queen,Better in Blak,Thelma Plum,2019-07-12,231666,61,0.689,0.469,0.425,0.000324,0.0697,0.156,-6.879,0.037,191.536,3
65,Stupid,About Us,G Flip,2019-08-30,206038,0,0.41,0.702,0.639,0.0,0.138,0.22,-5.271,0.0999,136.928,4
66,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,221543,77,0.39,0.853,0.351,9.38e-06,0.752,0.282,-10.198,0.241,118.028,4
67,Then What,Then What,Illy,2019-05-22,181466,53,0.00507,0.723,0.725,0.0,0.525,0.962,-4.498,0.104,72.473,4
68,Vacation Forever,Vacation Forever,Violent Soho,2019-11-22,269047,34,0.000411,0.485,0.909,9.88e-06,0.295,0.323,-2.913,0.0641,129.108,4
69,TALK DEEP,TALK DEEP,E^ST,2019-10-11,210371,47,0.153,0.71,0.833,0.057,0.0729,0.579,-7.536,0.057,130.013,4
70,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,27,0.00147,0.513,0.796,0.000209,0.0938,0.345,-4.075,0.0629,171.017,4
71,Pasta,Salt,Angie McMahon,2019-07-26,278453,43,0.221,0.458,0.452,0.0,0.0851,0.395,-7.699,0.0669,140.665,4
72,Party Pill,Cub Sport,Cub Sport,2019-01-18,176706,42,0.6,0.634,0.449,0.0,0.326,0.51,-8.999,0.0386,114.939,4
73,Nowhere To Go,Between Us,Hayden James,2019-06-14,204826,54,0.0829,0.664,0.664,2.86e-06,0.293,0.449,-5.606,0.0623,111.866,4
74,Paradise,Paradise,Golden Features,2019-10-11,215253,57,0.493,0.713,0.703,0.555,0.134,0.203,-9.452,0.0501,120.01,4
75,Something Tells Me,HOPE,Meg Mac,2019-06-07,216522,44,0.25,0.678,0.551,0.0,0.378,0.38,-5.87,0.0377,96.034,4
76,I Am Not Afraid,About Us,G Flip,2019-08-30,226659,0,0.0379,0.554,0.674,0.0,0.118,0.336,-4.138,0.0594,75.989,4
77,Not Angry Anymore,Not Angry Anymore,Thelma Plum,2019-02-01,203280,44,0.357,0.65,0.685,3.71e-05,0.301,0.936,-5.961,0.0477,174.909,4
78,Stay Awake,A Place We Knew,Dean Lewis,2019-03-22,185400,66,0.337,0.723,0.829,3.47e-05,0.0931,0.582,-7.123,0.0453,106.023,4
79,Good for You,Good for You,Spacey Jane,2019-08-15,174760,45,5.54e-05,0.436,0.896,0.00995,0.165,0.933,-4.736,0.0384,174.962,4
80,Let You Know,Let You Know,Flume,2019-06-12,199579,62,0.0544,0.759,0.694,0.0,0.131,0.374,-4.075,0.0418,117.056,4
81,Sugar,Sugar,Peking Duk,2019-01-17,191574,53,0.00415,0.529,0.722,0.00155,0.207,0.47,-5.931,0.0418,97.006,4
82,Welcome To The Black Parade - triple j Like A Version,Welcome To The Black Parade (triple j Like A Version),Alex Lahey,2019-09-27,322000,40,0.00131,0.209,0.726,0.0,0.125,0.281,-9.71,0.0716,96.841,3
